tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,4035,0,live,LRP1,"A2MR, APOER, APR, CD91, IGFBP-3R, IGFBP3R, IGFBP3R1, KPA, LRPA, TGFBR5, LRP1",LDL receptor related protein 1,prolow-density lipoprotein receptor-related protein 1|TbetaR-V/LRP-1/IGFBP-3 receptor|alpha-2-macroglobulin receptor|apolipoprotein E receptor|low density lipoprotein receptor-related protein 1|type V tgf-beta receptor,12q13.3,12,NC_000012.12,57128401,57213377,plus,90,107770
9606,Homo sapiens,3953,0,live,LEPR,"CD295, LEP-RD, OB-R, OBR, LEPR",leptin receptor,leptin receptor|OB receptor|huB219,1p31.3,1,NC_000001.11,65420652,65641559,plus,24,601007
9606,Homo sapiens,2263,0,live,FGFR2,"BBDS, BEK, BFR-1, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25",fibroblast growth factor receptor 2,"fibroblast growth factor receptor 2|BEK fibroblast growth factor receptor|bacteria-expressed kinase|keratinocyte growth factor receptor|protein tyrosine kinase, receptor like 14",10q26.13,10,NC_000010.11,121478330,121598458,minus,24,176943
9606,Homo sapiens,5156,0,live,PDGFRA,"CD140A, PDGFR-2, PDGFR2",platelet derived growth factor receptor alpha,"platelet-derived growth factor receptor alpha|CD140 antigen-like family member A|CD140a antigen|PDGF-R-alpha|alpha-type platelet-derived growth factor receptor|platelet-derived growth factor receptor 2|platelet-derived growth factor receptor, alpha polypeptide",4q12,4,NC_000004.12,54229127,54298245,plus,28,173490
9606,Homo sapiens,5781,0,live,PTPN11,"BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2",protein tyrosine phosphatase non-receptor type 11,tyrosine-protein phosphatase non-receptor type 11|SH2 domain-containing protein tyrosine phosphatase 2|protein-tyrosine phosphatase 1D|protein-tyrosine phosphatase 2C,12q24.13,12,NC_000012.12,112418915,112509918,plus,16,176876
9606,Homo sapiens,1813,0,live,DRD2,"D2DR, D2R",dopamine receptor D2,D(2) dopamine receptor|dopamine D2 receptor|seven transmembrane helix receptor,11q23.2,11,NC_000011.10,113409605,113475398,minus,9,126450
9606,Homo sapiens,5159,0,live,PDGFRB,"CD140B, IBGC4, IMF1, JTK12, KOGS, PDGFR, PDGFR-1, PDGFR1, PENTT",platelet derived growth factor receptor beta,"platelet-derived growth factor receptor beta|Activated tyrosine kinase PDGFRB|CD140 antigen-like family member B|NDEL1-PDGFRB|PDGF-R-beta|PDGFR-beta|beta-type platelet-derived growth factor receptor|platelet-derived growth factor receptor 1|platelet-derived growth factor receptor, beta polypeptide",5q32,5,NC_000005.10,150113839,150155845,minus,24,173410
9606,Homo sapiens,3570,0,live,IL6R,"CD126, HIES5, IL-1Ra, IL-6R, IL-6R-1, IL-6RA, IL6Q, IL6QTLA, IL6RQ, gp80, IL6R",interleukin 6 receptor,interleukin-6 receptor subunit alpha|CD126 antigen|IL-6 receptor subunit alpha|membrane glycoprotein 80,1q21.3,1,NC_000001.11,154405343,154469450,plus,14,147880
9606,Homo sapiens,1815,0,live,DRD4,D4DR,dopamine receptor D4,D(4) dopamine receptor|D(2C) dopamine receptor|dopamine D4 receptor|seven transmembrane helix receptor,11p15.5,11,NC_000011.10,637269,640706,plus,4,126452
9606,Homo sapiens,4157,0,live,MC1R,"CMM5, MSH-R, SHEP2",melanocortin 1 receptor,melanocyte-stimulating hormone receptor|MC1-R|alpha melanocyte stimulating hormone receptor|melanotropin receptor,16q24.3,16,NC_000016.10,89918862,89920972,plus,1,155555
9606,Homo sapiens,4160,0,live,MC4R,BMIQ20,melanocortin 4 receptor,melanocortin receptor 4|MC4-R,18q21.32,18,NC_000018.10,60371062,60372775,minus,1,155541
9606,Homo sapiens,4544,0,live,MTNR1B,"FGQTL2, MEL-1B-R, MT2",melatonin receptor 1B,melatonin receptor type 1B|mel1b receptor|melatonin receptor 1B variant b|melatonin receptor MEL1B,11q14.3,11,NC_000011.10,92969651,92986241,plus,4,600804
9606,Homo sapiens,3572,0,live,IL6ST,"CD130, CDW130, GP130, HIES4, IL-6RB, sGP130",interleukin 6 cytokine family signal transducer,"interleukin-6 receptor subunit beta|CD130 antigen|IL-6 receptor subunit beta|IL-6R subunit beta|gp130 of the rheumatoid arthritis antigenic peptide-bearing soluble form|gp130, oncostatin M receptor|interleukin receptor beta chain|interleukin-6 signal transducer|membrane glycoprotein 130|membrane glycoprotein gp130|oncostatin-M receptor subunit alpha",5q11.2,5,NC_000005.10,55935095,55994963,minus,19,600694
9606,Homo sapiens,3949,0,live,LDLR,"FH, FHC, FHCL1, LDLCQ2",low density lipoprotein receptor,low-density lipoprotein receptor|LDL receptor|low-density lipoprotein receptor class A domain-containing protein 3,19p13.2,19,NC_000019.10,11089432,11133820,plus,18,606945
9606,Homo sapiens,2260,0,live,FGFR1,"BFGFR, CD331, CEK, ECCL, FGFBR, FGFR-1, FLG, FLT-2, FLT2, HBGFR, HH2, HRTFDS, KAL2, N-SAM, OGD, bFGF-R-1",fibroblast growth factor receptor 1,fibroblast growth factor receptor 1|FGFR1/PLAG1 fusion|FMS-like tyrosine kinase 2|basic fibroblast growth factor receptor 1|fms-related tyrosine kinase 2|heparin-binding growth factor receptor|hydroxyaryl-protein kinase|proto-oncogene c-Fgr,8p11.23,8,NC_000008.11,38411143,38468635,minus,24,136350
9606,Homo sapiens,2908,0,live,NR3C1,"GCCR, GCR, GCRST, GR, GRL",nuclear receptor subfamily 3 group C member 1,"glucocorticoid receptor|glucocorticoid nuclear receptor variant 1|nuclear receptor subfamily 3 group C member 1 variant hGR-B(54)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(77)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(93)|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",5q31.3,5,NC_000005.10,143277931,143435512,minus,16,138040
9606,Homo sapiens,4914,0,live,NTRK1,"MTC, TRK, TRK1, TRKA, Trk-A, p140-TrkA",neurotrophic receptor tyrosine kinase 1,"high affinity nerve growth factor receptor|Oncogene TRK|TRK1-transforming tyrosine kinase protein|gp140trk|neurotrophic tyrosine kinase, receptor, type 1|tropomyosin-related kinase A|tyrosine kinase receptor A",1q23.1,1,NC_000001.11,156815750,156881850,plus,19,191315
9606,Homo sapiens,7046,0,live,TGFBR1,"AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TBR-i, TBRI, TGFR-1, tbetaR-I",transforming growth factor beta receptor 1,"TGF-beta receptor type-1|activin A receptor type II-like kinase, 53kDa|activin A receptor type II-like protein kinase of 53kD|activin receptor-like kinase 5|mutant transforming growth factor beta receptor I|serine/threonine-protein kinase receptor R4|transforming growth factor beta receptor I|transforming growth factor-beta receptor type I",9q22.33,9,NC_000009.12,99104038,99154192,plus,11,190181
9606,Homo sapiens,5770,0,live,PTPN1,PTP1B,protein tyrosine phosphatase non-receptor type 1,"tyrosine-protein phosphatase non-receptor type 1|protein tyrosine phosphatase, placental|protein-tyrosine phosphatase 1B",20q13.13,20,NC_000020.11,50510383,50585241,plus,10,176885
9606,Homo sapiens,10891,0,live,PPARGC1A,"LEM6, PGC-1(alpha), PGC-1alpha, PGC-1v, PGC1, PGC1A, PPARGC1",PPARG coactivator 1 alpha,peroxisome proliferator-activated receptor gamma coactivator 1-alpha|L-PGC-1alpha|PGC-1-alpha|PPAR gamma coactivator variant form|PPARGC-1-alpha|PPARgamma coactivator 1alpha|ligand effect modulator-6|peroxisome proliferator-activated receptor gamma coactivator 1 alpha transcript variant B4-3ext|peroxisome proliferator-activated receptor gamma coactivator 1 alpha transcript variant B4-8a|peroxisome proliferator-activated receptor gamma coactivator 1 alpha transcript variant B5-NT,4p15.2,4,NC_000004.12,23792021,24472905,minus,24,604517
9606,Homo sapiens,3383,0,live,ICAM1,"BB2, CD54, P3.58",intercellular adhesion molecule 1,"intercellular adhesion molecule 1|ICAM-1|cell surface glycoprotein P3.58|epididymis secretory sperm binding protein|intercellular adhesion molecule 1 (CD54), human rhinovirus receptor|major group rhinovirus receptor",19p13.2,19,NC_000019.10,10271120,10286615,plus,7,147840
9606,Homo sapiens,2885,0,live,GRB2,"ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2",growth factor receptor bound protein 2,growth factor receptor-bound protein 2|HT027|SH2/SH3 adapter GRB2|abundant SRC homology|epidermal growth factor receptor-binding protein GRB2|epididymis secretory sperm binding protein|growth factor receptor-bound protein 3|protein Ash,17q25.1,17,NC_000017.11,75318076,75405678,minus,6,108355
9606,Homo sapiens,3559,0,live,IL2RA,"CD25, IDDM10, IL2R, IMD41, TCGFR, p55",interleukin 2 receptor subunit alpha,"interleukin-2 receptor subunit alpha|IL-2 receptor subunit alpha|IL-2R subunit alpha|TAC antigen|interleukin 2 receptor, alpha",10p15.1,10,NC_000010.11,6010689,6062367,minus,8,147730
9606,Homo sapiens,3350,0,live,HTR1A,"5-HT-1A, 5-HT1A, 5HT1a, ADRB2RL1, ADRBRL1, G-21, PFMCD",5-hydroxytryptamine receptor 1A,"5-hydroxytryptamine receptor 1A|5-HT1a receptor|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled|guanine nucleotide-binding regulatory protein-coupled receptor",5q12.3,5,NC_000005.10,63957874,63962445,minus,1,109760
9606,Homo sapiens,2322,0,live,FLT3,"CD135, FLK-2, FLK2, STK1",fms related receptor tyrosine kinase 3,receptor-type tyrosine-protein kinase FLT3|CD135 antigen|FL cytokine receptor|fetal liver kinase 2|fms related tyrosine kinase 3|fms-like tyrosine kinase 3|growth factor receptor tyrosine kinase type III|stem cell tyrosine kinase 1,13q12.2,13,NC_000013.11,28003274,28100587,minus,27,136351
9606,Homo sapiens,2358,0,live,FPR2,"ALX, ALXR, FMLP-R-II, FMLPXA, FPRH1, FPRH2, FPRL1, HM63, LXA4R, FPR2",formyl peptide receptor 2,N-formyl peptide receptor 2|FMLP-R-I|FMLP-related receptor I|LXA4 receptor|RFP|formyl peptide receptor-like 1|lipoxin A4 receptor (formyl peptide receptor related),19q13.41,19,NC_000019.10,51752026,51770531,plus,5,136538
9606,Homo sapiens,177,0,live,AGER,"RAGE, SCARJ1, sRAGE",advanced glycosylation end-product specific receptor,advanced glycosylation end product-specific receptor|receptor for advanced glycation end-products variant 20,6p21.32,6,NC_000006.12,32180969,32184380,minus,11,600214
9606,Homo sapiens,2261,0,live,FGFR3,"ACH, CD333, CEK2, HSFGFR3EX, JTK4",fibroblast growth factor receptor 3,fibroblast growth factor receptor 3|FGFR-3|fibroblast growth factor receptor 3 variant 4|fibroblast growth factor receptor 3-S|hydroxyaryl-protein kinase|tyrosine kinase JTK4,4p16.3,4,NC_000004.12,1793293,1808872,plus,19,134934
9606,Homo sapiens,26191,0,live,PTPN22,"LYP, LYP1, LYP2, PEP.5, PTPN22.6, PTPN8, PTPN22",protein tyrosine phosphatase non-receptor type 22,"tyrosine-protein phosphatase non-receptor type 22|PEST-domain phosphatase|hematopoietic cell protein-tyrosine phosphatase 70Z-PEP|lymphoid-specific protein tyrosine phosphatase|protein tyrosine phosphatase, non-receptor type 22 (lymphoid)|protein tyrosine phosphatase, non-receptor type 8",1p13.2,1,NC_000001.11,113813811,113871761,minus,24,600716
9606,Homo sapiens,2690,0,live,GHR,"GHBP, GHIP",growth hormone receptor,growth hormone receptor|GH receptor|growth hormone binding protein|mutant growth hormone receptor|serum binding protein|somatotropin receptor|truncated growth hormone receptor,5p13.1-p12,5,NC_000005.10,42423439,42721878,plus,18,600946
9606,Homo sapiens,3084,0,live,NRG1,"ARIA, GGF, GGF2, HGL, HRG, HRG1, HRGA, MST131, MSTP131, NDF-IT2, SMDF, NRG1",neuregulin 1,"pro-neuregulin-1, membrane-bound isoform|acetylcholine receptor-inducing activity|glial growth factor 2|heregulin, alpha (45kD, ERBB2 p185-activator)|neu differentiation factor|pro-NRG1|sensory and motor neuron derived factor",8p12,8,NC_000008.11,31639245,32774046,plus,19,142445
9606,Homo sapiens,1812,0,live,DRD1,"DADRA, DRD1",dopamine receptor D1,D(1A) dopamine receptor|dopamine D1 receptor,5q35.2,5,NC_000005.10,175440036,175444182,minus,2,126449
9606,Homo sapiens,5788,0,live,PTPRC,"B220, CD45, CD45R, GP180, L-CA, LCA, LY5, T200",protein tyrosine phosphatase receptor type C,"receptor-type tyrosine-protein phosphatase C|CD45 antigen|T200 glycoprotein|T200 leukocyte common antigen|protein tyrosine phosphatase, receptor type, c polypeptide",1q31.3-q32.1,1,NC_000001.11,198639025,198757476,plus,34,151460
9606,Homo sapiens,2852,0,live,GPER1,"CEPR, CMKRL2, DRY12, FEG-1, GPCR-Br, GPER, GPR30, LERGU, LERGU2, LyGPR, mER",G protein-coupled estrogen receptor 1,G-protein coupled estrogen receptor 1|G protein-coupled receptor 30|IL8-related receptor DRY12|chemoattractant receptor-like 2|chemokine receptor-like 2|constitutively expressed peptide-like receptor|flow-induced endothelial G-protein coupled receptor 1|heptahelix receptor|lymphocyte-derived G-protein coupled receptor|membrane estrogen receptor,7p22.3,7,NC_000007.14,1087118,1093810,plus,3,601805
9606,Homo sapiens,10203,0,live,CALCRL,"CGRPR, CRLR, LMPHM8",calcitonin receptor like receptor,calcitonin gene-related peptide type 1 receptor|CGRP type 1 receptor|calcitonin receptor-like,2q32.1,2,NC_000002.12,187341964,187448304,minus,17,114190
9606,Homo sapiens,1524,0,live,CX3CR1,"CCRL1, CMKBRL1, CMKDR1, GPR13, GPRV28, V28",C-X3-C motif chemokine receptor 1,CX3C chemokine receptor 1|C-X3-C CKR-1|CMK-BRL-1|CMK-BRL1|G-protein coupled receptor 13|beta chemokine receptor-like 1|chemokine (C-C) receptor-like 1|chemokine (C-X3-C motif) receptor 1|chemokine (C-X3-C) receptor 1|fractalkine receptor,3p22.2,3,NC_000003.12,39263494,39281735,minus,5,601470
9606,Homo sapiens,51738,0,live,GHRL,MTLRP,ghrelin and obestatin prepropeptide,"appetite-regulating hormone|In2c-preproghrelin|ghrelin, growth hormone secretagogue receptor ligand|ghrelin/obestatin preprohormone|ghrelin/obestatin prepropeptide|growth hormone-releasing peptide|motilin-related peptide|prepro-appetite regulatory hormone|preproghrelin",3p25.3,3,NC_000003.12,10285666,10292947,minus,6,605353
9606,Homo sapiens,1378,0,live,CR1,"C3BR, C4BR, CD35, KN",complement C3b/C4b receptor 1 (Knops blood group),complement receptor type 1|C3-binding protein|C3b/C4b receptor|CD35 antigen|Knops blood group antigen|complement component (3b/4b) receptor 1 (Knops blood group)|complement receptor 1,1q32.2,1,NC_000001.11,207496157,207641765,plus,47,120620
9606,Homo sapiens,5241,0,live,PGR,"NR3C3, PR",progesterone receptor,progesterone receptor|nuclear receptor subfamily 3 group C member 3,11q22.1,11,NC_000011.10,101029624,101130681,minus,10,607311
9606,Homo sapiens,8829,0,live,NRP1,"BDCA4, CD304, NP1, NRP, VEGF165R",neuropilin 1,neuropilin-1|transmembrane receptor|vascular endothelial cell growth factor 165 receptor,10p11.22,10,NC_000010.11,33177493,33334667,minus,18,602069
9606,Homo sapiens,2065,0,live,ERBB3,"ErbB-3, FERLK, HER3, LCCS2, MDA-BF-1, VSCN1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3",erb-b2 receptor tyrosine kinase 3,receptor tyrosine-protein kinase erbB-3|human epidermal growth factor receptor 3|proto-oncogene-like protein c-ErbB-3|tyrosine kinase-type cell surface receptor HER3|v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3,12q13.2,12,NC_000012.12,56080108,56103505,plus,28,190151
9606,Homo sapiens,10333,0,live,TLR6,CD286,toll like receptor 6,toll-like receptor 6,4p14,4,NC_000004.12,38822897,38857755,minus,6,605403
9606,Homo sapiens,2911,0,live,GRM1,"GPRC1A, MGLU1, MGLUR1, PPP1R85, SCA44, SCAR13",glutamate metabotropic receptor 1,"metabotropic glutamate receptor 1|glutamate receptor, metabotropic 1|protein phosphatase 1, regulatory subunit 85",6q24.3,6,NC_000006.12,146027634,146437601,plus,11,604473
9606,Homo sapiens,799,0,live,CALCR,"CRT, CT-R, CTR, CTR1",calcitonin receptor,calcitonin receptor,7q21.3,7,NC_000007.14,93424486,93574724,minus,17,114131
9606,Homo sapiens,5021,0,live,OXTR,"OT-R, OTR",oxytocin receptor,oxytocin receptor,3p25.3,3,NC_000003.12,8750381,8769613,minus,6,167055
9606,Homo sapiens,3689,0,live,ITGB2,"CD18, LAD, LCAMB, LFA-1, MAC-1, MF17, MFI7",integrin subunit beta 2,"integrin beta-2|cell surface adhesion glycoprotein (LFA-1/CR3/P150,959 beta subunit precursor)|complement component 3 receptor 3 and 4 subunit|complement receptor C3 beta-subunit|integrin beta chain, beta 2|integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)|leukocyte cell adhesion molecule CD18|leukocyte-associated antigens CD18/11A, CD18/11B, CD18/11C|truncated integrin beta-2",21q22.3,21,NC_000021.9,44885949,44928815,minus,17,600065
9606,Homo sapiens,2532,0,live,ACKR1,"CCBP1, CD234, DARC, DARC/ACKR1, Dfy, FY, GPD, GpFy, WBCQ1",atypical chemokine receptor 1 (Duffy blood group),"atypical chemokine receptor 1|Duffy antigen chemokine receptor|Duffy blood group antigen|Duffy blood group system protein|Duffy blood group, chemokine receptor|Fy glycoprotein|glycoprotein D|plasmodium vivax receptor",1q23.2,1,NC_000001.11,159204875,159206500,plus,2,613665
9606,Homo sapiens,1969,0,live,EPHA2,"ARCC2, CTPA, CTPP1, CTRCT6, ECK",EPH receptor A2,ephrin type-A receptor 2|epithelial cell receptor protein tyrosine kinase|soluble EPHA2 variant 1|tyrosine-protein kinase receptor ECK,1p36.13,1,NC_000001.11,16124337,16156104,minus,18,176946
9606,Homo sapiens,5465,0,live,PPARA,"NR1C1, PPAR, PPAR-alpha, PPARalpha, hPPAR",peroxisome proliferator activated receptor alpha,"peroxisome proliferator-activated receptor alpha|nuclear receptor subfamily 1 group C member 1|peroxisome proliferative activated receptor, alpha|peroxisome proliferator-activated nuclear receptor alpha variant 3",22q13.31,22,NC_000022.11,46150526,46243756,plus,14,170998
9606,Homo sapiens,7096,0,live,TLR1,"CD281, TIL, TIL. LPRS5, rsc786",toll like receptor 1,toll-like receptor 1|toll/interleukin-1 receptor-like protein,4p14,4,NC_000004.12,38791055,38806262,minus,7,601194
9606,Homo sapiens,3351,0,live,HTR1B,"5-HT-1B, 5-HT-1D-beta, 5-HT1B, 5-HT1DB, HTR1D2, HTR1DB, S12",5-hydroxytryptamine receptor 1B,"5-hydroxytryptamine receptor 1B|5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled|serotonin 1D beta receptor|serotonin receptor 1B",6q14.1,6,NC_000006.12,77460924,77463491,minus,1,182131
9606,Homo sapiens,9971,0,live,NR1H4,"BAR, FXR, HRR-1, HRR1, PFIC5, RIP14",nuclear receptor subfamily 1 group H member 4,bile acid receptor|RXR-interacting protein 14|farnesoid X nuclear receptor|farnesoid X-activated receptor|farnesol receptor HRR-1|retinoid X receptor-interacting protein 14,12q23.1,12,NC_000012.12,100473866,100564414,plus,14,603826
9606,Homo sapiens,4915,0,live,NTRK2,"DEE58, EIEE58, GP145-TrkB, OBHD, TRKB, trk-B",neurotrophic receptor tyrosine kinase 2,BDNF/NT-3 growth factors receptor|BDNF-tropomyosine receptor kinase B|neurotrophic tyrosine kinase receptor type 2|tropomyosin-related kinase B|tyrosine kinase receptor B,9q21.33,9,NC_000009.12,84668458,85027070,plus,28,600456
9606,Homo sapiens,94,0,live,ACVRL1,"ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I",activin A receptor like type 1,"serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1",12q13.13,12,NC_000012.12,51906913,51923361,plus,11,601284
9606,Homo sapiens,5028,0,live,P2RY1,"P2Y1, SARCC",purinergic receptor P2Y1,"P2Y purinoceptor 1|ADP receptor|ATP receptor|P2 purinoceptor subtype Y1|platelet ADP receptor|purinergic receptor P2Y, G-protein coupled, 1|suppressing androgen receptor in renal cell carcinoma",3q25.2,3,NC_000003.12,152835131,152841439,plus,1,601167
9606,Homo sapiens,196,0,live,AHR,"RP85, bHLHe76",aryl hydrocarbon receptor,aryl hydrocarbon receptor|AH-receptor|ah receptor|aromatic hydrocarbon receptor|class E basic helix-loop-helix protein 76,7p21.1,7,NC_000007.14,17298652,17346147,plus,11,600253
9606,Homo sapiens,1136,0,live,CHRNA3,"BAIPRCK, LNCR2, NACHRA3, PAOD2",cholinergic receptor nicotinic alpha 3 subunit,"neuronal acetylcholine receptor subunit alpha-3|cholinergic receptor, nicotinic alpha 3|cholinergic receptor, nicotinic, alpha 3 (neuronal)|cholinergic receptor, nicotinic, alpha polypeptide 3|neuronal nicotinic acetylcholine receptor, alpha3 subunit",15q25.1,15,NC_000015.10,78593052,78620996,minus,9,118503
9606,Homo sapiens,5469,0,live,MED1,"CRSP1, CRSP200, DRIP205, DRIP230, PBP, PPARBP, PPARGBP, RB18A, TRAP220, TRIP2",mediator complex subunit 1,mediator of RNA polymerase II transcription subunit 1|ARC205|PPAR-binding protein|PPARG binding protein|TR-interacting protein 2|TRIP-2|activator-recruited cofactor 205 kDa component|p53 regulatory protein RB18A|peroxisome proliferator-activated receptor-binding protein|thyroid hormone receptor-associated protein complex 220 kDa component|thyroid hormone receptor-associated protein complex component TRAP220|thyroid receptor interacting protein 2|vitamin D receptor-interacting protein 230 kD|vitamin D receptor-interacting protein complex component DRIP205,17q12,17,NC_000017.11,39404285,39451281,minus,17,604311
9606,Homo sapiens,2048,0,live,EPHB2,"BDPLT22, CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5",EPH receptor B2,ephrin type-B receptor 2|EPH-like kinase 5|developmentally-regulated Eph-related tyrosine kinase|elk-related tyrosine kinase|eph tyrosine kinase 3|protein-tyrosine kinase HEK5|renal carcinoma antigen NY-REN-47|tyrosine-protein kinase TYRO5|tyrosine-protein kinase receptor EPH-3,1p36.12,1,NC_000001.11,22710770,22921500,plus,17,600997
9606,Homo sapiens,7100,0,live,TLR5,"MELIOS, SLE1, SLEB1, TIL3",toll like receptor 5,toll-like receptor 5|systemic lupus erythematosus susceptibility 1|toll/interleukin-1 receptor-like protein 3,1q41,1,NC_000001.11,223108401,223143281,minus,7,603031
9606,Homo sapiens,558,0,live,AXL,"ARK, JTK11, Tyro7, UFO",AXL receptor tyrosine kinase,tyrosine-protein kinase receptor UFO|AXL oncogene|AXL transforming sequence/gene,19q13.2,19,NC_000019.10,41219223,41261766,plus,21,109135
9606,Homo sapiens,2066,0,live,ERBB4,"ALS19, HER4, p180erbB4",erb-b2 receptor tyrosine kinase 4,receptor tyrosine-protein kinase erbB-4|avian erythroblastic leukemia viral (v-erb-b2) oncogene homolog 4|human epidermal growth factor receptor 4|proto-oncogene-like protein c-ErbB-4|tyrosine kinase-type cell surface receptor HER4|v-erb-a erythroblastic leukemia viral oncogene homolog 4|v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,2q34,2,NC_000002.12,211375717,212538802,minus,31,600543
9606,Homo sapiens,2057,0,live,EPOR,EPO-R,erythropoietin receptor,erythropoietin receptor|truncated erythropoietin receptor,19p13.2,19,NC_000019.10,11377207,11384314,minus,8,133171
9606,Homo sapiens,51284,0,live,TLR7,"IMD74-like, TLR7",toll like receptor 7,toll-like receptor 7|toll-like receptor 7-like,Xp22.2,X,NC_000023.11,12867072,12890361,plus,3,300365
9606,Homo sapiens,51135,0,live,IRAK4,"IMD67, IPD1, IRAK-4, NY-REN-64, REN64",interleukin 1 receptor associated kinase 4,interleukin-1 receptor-associated kinase 4|renal carcinoma antigen NY-REN-64,12q12,12,NC_000012.12,43758909,43789543,plus,19,606883
9606,Homo sapiens,4985,0,live,OPRD1,"DOP, DOR, DOR1, OPRD",opioid receptor delta 1,delta-type opioid receptor|D-OR-1|DOR-1|delta opioid receptor 1,1p35.3,1,NC_000001.11,28812170,28871267,plus,3,165195
9606,Homo sapiens,149233,0,live,IL23R,,interleukin 23 receptor,interleukin-23 receptor|IL-23 receptor,1p31.3,1,NC_000001.11,67138639,67259979,plus,13,607562
9606,Homo sapiens,5726,0,live,TAS2R38,"PTC, T2R38, T2R61, THIOT",taste 2 receptor member 38,"taste receptor type 2 member 38|PTC bitter taste receptor|taste receptor type 2 member 61|taste receptor, type 2, member 38",7q34,7,NC_000007.14,141972631,141973773,minus,1,607751
9606,Homo sapiens,2833,0,live,CXCR3,"CD182, CD183, CKR-L2, CMKAR3, GPR9, IP10-R, Mig-R, MigR",C-X-C motif chemokine receptor 3,C-X-C chemokine receptor type 3|G protein-coupled receptor 9|IP-10 receptor|Mig receptor|chemokine (C-X-C motif) receptor 3|chemokine receptor 3|interferon-inducible protein 10 receptor,Xq13.1,X,NC_000023.11,71615913,71618515,minus,4,300574
9606,Homo sapiens,2904,0,live,GRIN2B,"DEE27, EIEE27, GluN2B, MRD6, NMDAR2B, NR2B, NR3, hNR3",glutamate ionotropic receptor NMDA type subunit 2B,"glutamate receptor ionotropic, NMDA 2B|GluN2B(alt_5'UTR)|N-methyl D-aspartate receptor subtype 2B|N-methyl-D-aspartate receptor subunit 3|glutamate [NMDA] receptor subunit epsilon-2|glutamate receptor subunit epsilon-2|glutamate receptor, ionotropic, N-methyl D-aspartate 2B",12p13.1,12,NC_000012.12,13537337,13982012,minus,16,138252
